year,city,country,avg_temp
1825,Singapore,Singapore,26.43
1826,Singapore,Singapore,
1827,Singapore,Singapore,
1828,Singapore,Singapore,
1829,Singapore,Singapore,
1830,Singapore,Singapore,
1831,Singapore,Singapore,
1832,Singapore,Singapore,
1833,Singapore,Singapore,
1834,Singapore,Singapore,
1835,Singapore,Singapore,
1836,Singapore,Singapore,
1837,Singapore,Singapore,
1838,Singapore,Singapore,
1839,Singapore,Singapore,25.79
1840,Singapore,Singapore,25.89
1841,Singapore,Singapore,25.98
1842,Singapore,Singapore,26.14
1843,Singapore,Singapore,26.22
1844,Singapore,Singapore,25.73
1845,Singapore,Singapore,25.62
1846,Singapore,Singapore,26.45
1847,Singapore,Singapore,25.88
1848,Singapore,Singapore,
1849,Singapore,Singapore,
1850,Singapore,Singapore,26.01
1851,Singapore,Singapore,26.09
1852,Singapore,Singapore,25.97
1853,Singapore,Singapore,26.18
1854,Singapore,Singapore,25.95
1855,Singapore,Singapore,26.08
1856,Singapore,Singapore,26.17
1857,Singapore,Singapore,
1858,Singapore,Singapore,26.15
1859,Singapore,Singapore,26.24
1860,Singapore,Singapore,25.93
1861,Singapore,Singapore,25.89
1862,Singapore,Singapore,
1863,Singapore,Singapore,26.09
1864,Singapore,Singapore,25.92
1865,Singapore,Singapore,26.15
1866,Singapore,Singapore,26.12
1867,Singapore,Singapore,26.04
1868,Singapore,Singapore,26.15
1869,Singapore,Singapore,25.98
1870,Singapore,Singapore,25.57
1871,Singapore,Singapore,25.58
1872,Singapore,Singapore,26.17
1873,Singapore,Singapore,26.40
1874,Singapore,Singapore,26.09
1875,Singapore,Singapore,25.47
1876,Singapore,Singapore,25.72
1877,Singapore,Singapore,26.25
1878,Singapore,Singapore,26.57
1879,Singapore,Singapore,25.75
1880,Singapore,Singapore,26.12
1881,Singapore,Singapore,26.55
1882,Singapore,Singapore,26.10
1883,Singapore,Singapore,26.00
1884,Singapore,Singapore,25.86
1885,Singapore,Singapore,26.22
1886,Singapore,Singapore,26.40
1887,Singapore,Singapore,25.60
1888,Singapore,Singapore,26.26
1889,Singapore,Singapore,26.46
1890,Singapore,Singapore,25.84
1891,Singapore,Singapore,26.14
1892,Singapore,Singapore,26.04
1893,Singapore,Singapore,25.80
1894,Singapore,Singapore,25.99
1895,Singapore,Singapore,26.09
1896,Singapore,Singapore,26.46
1897,Singapore,Singapore,26.58
1898,Singapore,Singapore,26.30
1899,Singapore,Singapore,26.22
1900,Singapore,Singapore,26.53
1901,Singapore,Singapore,26.06
1902,Singapore,Singapore,25.98
1903,Singapore,Singapore,26.15
1904,Singapore,Singapore,25.85
1905,Singapore,Singapore,26.61
1906,Singapore,Singapore,26.33
1907,Singapore,Singapore,26.30
1908,Singapore,Singapore,26.22
1909,Singapore,Singapore,26.29
1910,Singapore,Singapore,26.11
1911,Singapore,Singapore,26.35
1912,Singapore,Singapore,26.52
1913,Singapore,Singapore,26.26
1914,Singapore,Singapore,26.65
1915,Singapore,Singapore,26.68
1916,Singapore,Singapore,26.29
1917,Singapore,Singapore,25.92
1918,Singapore,Singapore,25.90
1919,Singapore,Singapore,26.55
1920,Singapore,Singapore,26.44
1921,Singapore,Singapore,26.23
1922,Singapore,Singapore,26.28
1923,Singapore,Singapore,26.26
1924,Singapore,Singapore,26.38
1925,Singapore,Singapore,26.22
1926,Singapore,Singapore,26.60
1927,Singapore,Singapore,26.45
1928,Singapore,Singapore,26.58
1929,Singapore,Singapore,26.46
1930,Singapore,Singapore,26.72
1931,Singapore,Singapore,26.88
1932,Singapore,Singapore,26.53
1933,Singapore,Singapore,26.37
1934,Singapore,Singapore,26.25
1935,Singapore,Singapore,26.55
1936,Singapore,Singapore,26.60
1937,Singapore,Singapore,26.73
1938,Singapore,Singapore,26.64
1939,Singapore,Singapore,26.58
1940,Singapore,Singapore,26.86
1941,Singapore,Singapore,27.28
1942,Singapore,Singapore,26.92
1943,Singapore,Singapore,26.49
1944,Singapore,Singapore,26.66
1945,Singapore,Singapore,26.64
1946,Singapore,Singapore,26.83
1947,Singapore,Singapore,26.93
1948,Singapore,Singapore,26.80
1949,Singapore,Singapore,26.74
1950,Singapore,Singapore,26.56
1951,Singapore,Singapore,26.84
1952,Singapore,Singapore,26.89
1953,Singapore,Singapore,26.93
1954,Singapore,Singapore,26.65
1955,Singapore,Singapore,26.64
1956,Singapore,Singapore,26.47
1957,Singapore,Singapore,26.79
1958,Singapore,Singapore,27.08
1959,Singapore,Singapore,26.88
1960,Singapore,Singapore,26.93
1961,Singapore,Singapore,26.73
1962,Singapore,Singapore,26.56
1963,Singapore,Singapore,26.77
1964,Singapore,Singapore,26.66
1965,Singapore,Singapore,26.63
1966,Singapore,Singapore,26.89
1967,Singapore,Singapore,26.68
1968,Singapore,Singapore,26.75
1969,Singapore,Singapore,27.06
1970,Singapore,Singapore,26.85
1971,Singapore,Singapore,26.61
1972,Singapore,Singapore,26.94
1973,Singapore,Singapore,26.96
1974,Singapore,Singapore,26.67
1975,Singapore,Singapore,26.64
1976,Singapore,Singapore,26.56
1977,Singapore,Singapore,26.82
1978,Singapore,Singapore,26.90
1979,Singapore,Singapore,26.96
1980,Singapore,Singapore,26.96
1981,Singapore,Singapore,26.98
1982,Singapore,Singapore,26.84
1983,Singapore,Singapore,27.30
1984,Singapore,Singapore,26.48
1985,Singapore,Singapore,26.82
1986,Singapore,Singapore,26.85
1987,Singapore,Singapore,27.18
1988,Singapore,Singapore,27.07
1989,Singapore,Singapore,26.79
1990,Singapore,Singapore,27.13
1991,Singapore,Singapore,26.99
1992,Singapore,Singapore,27.00
1993,Singapore,Singapore,26.93
1994,Singapore,Singapore,27.09
1995,Singapore,Singapore,27.07
1996,Singapore,Singapore,27.04
1997,Singapore,Singapore,27.39
1998,Singapore,Singapore,27.78
1999,Singapore,Singapore,27.02
2000,Singapore,Singapore,27.10
2001,Singapore,Singapore,27.19
2002,Singapore,Singapore,27.41
2003,Singapore,Singapore,27.31
2004,Singapore,Singapore,27.33
2005,Singapore,Singapore,27.49
2006,Singapore,Singapore,27.33
2007,Singapore,Singapore,27.13
2008,Singapore,Singapore,27.07
2009,Singapore,Singapore,27.47
2010,Singapore,Singapore,27.60
2011,Singapore,Singapore,27.28
2012,Singapore,Singapore,27.30
2013,Singapore,Singapore,27.60
